Onsite_Energy,Chemical_Potential,N_particles,E1,E1m2,E1p2
9.0,0.6648334782775009,124.0,-927.3178985284522,-928.6691589070906,-925.1859616651686
8.984848484848486,0.9594903698699682,123.0,-926.1101189912268,-927.0228948845313,-924.3392696511888
8.96969696969697,0.7325205060823805,122.0,-925.4536300346922,-926.0695218005719,-923.1019766618219
8.954545454545453,0.5597082151979293,121.0,-923.4463379185561,-924.6388943867205,-922.0099714884437
8.93939393939394,0.9646699868567907,120.0,-922.8260258580111,-922.9905462027182,-921.5726459865488
8.924242424242424,0.6071210926172057,119.0,-921.0282515791938,-922.0325365103116,-919.6919542147082
8.90909090909091,0.30081511170141084,119.0,-919.644881466817,-920.8677639857749,-918.2691295542269
8.893939393939394,0.5528230022848106,118.0,-918.2144077876854,-919.2770722528586,-917.0238350436427
8.878787878787879,0.5688080446004733,117.0,-916.716515313259,-917.4232432665358,-915.8296288126626
8.863636363636363,0.6411979437355626,116.0,-915.8156365193072,-915.926889738328,-914.3323988195591
8.84848484848485,0.18372129751816146,115.0,-914.2249766989153,-914.7074829821919,-913.0787848038321
8.833333333333334,0.21255119085509477,114.0,-912.5213397480821,-913.0993602569721,-912.1391457015729
8.818181818181818,0.16429968816339624,113.0,-911.3906218014777,-911.3268671710382,-910.3884072434806
8.803030303030303,0.2606363723322147,112.0,-909.8509658465355,-909.9458674490954,-909.1105401452365
8.787878787878787,0.20507851402976485,111.0,-908.0361702663564,-908.1431590104424,-907.6498116161346
8.772727272727273,0.04476036008321671,110.0,-906.678460305604,-906.4326413159442,-906.4507308529704
8.757575757575758,0.06578100319177338,110.0,-904.9502612146437,-904.8800331095666,-904.7296900266268
8.742424242424242,-0.02388937181245865,110.0,-903.3360382760656,-903.1911602909885,-902.8749026325505
8.727272727272727,0.031193709600074726,110.0,-901.5566111017404,-901.5390138441812,-901.4568387619844
8.712121212121211,0.01006023133106737,109.0,-899.9230346883238,-899.8442244364512,-899.8535225075519
8.696969696969697,0.12057266648258746,109.0,-898.3370611939904,-898.3429114002454,-897.9957055439406
8.681818181818182,0.0006554229172479609,109.0,-896.611214323952,-896.6130700672433,-896.4566949439542
8.666666666666666,0.02050981776892513,109.0,-895.0605440446599,-894.9710760397389,-894.7286522267411
8.651515151515152,0.14287405350592053,109.0,-893.4766030063032,-893.4535469387213,-893.0747521126826
8.636363636363637,0.10013358854280341,109.0,-891.7254890107641,-891.8234365232272,-891.3673490123697
8.621212121212121,0.02492152717348972,108.0,-890.2095322085645,-890.1259111433658,-889.8765003226157
8.606060606060606,0.011749577649197818,108.0,-888.5129605909833,-888.4719339337273,-888.2680368076429
8.590909090909092,0.0347704006065328,107.0,-886.8676730118008,-886.7749604638161,-886.8528101539907
8.575757575757574,0.09631569020172037,108.0,-885.3259308664439,-885.2745824542937,-884.9487000405646
8.56060606060606,-0.0033303415947329995,107.0,-883.67919302406,-883.6207010707743,-883.5445122843042
8.545454545454547,0.014450727497148819,106.0,-882.0476837234004,-881.9007086334802,-881.9947489195177
8.530303030303031,-0.020619078447737138,105.0,-880.4663803660202,-880.2172210949333,-880.4071921044423
8.515151515151514,-0.004920032195627755,106.0,-878.8981753848333,-878.7751323821038,-878.6512000389326
8.5,0.04552671298245059,106.0,-877.2446039250738,-877.2070213915215,-876.9889092336499
8.484848484848484,-0.02758994526107017,105.0,-875.692661083699,-875.5340359276519,-875.5715508608937
8.469696969696969,0.03613571735326104,105.0,-874.0422123023973,-873.9768640330801,-873.9847727932323
8.454545454545455,-0.004151876274306687,105.0,-872.4907353225622,-872.4054348148047,-872.25518459521
8.43939393939394,-0.01190275010901587,104.0,-870.9045985114574,-870.7605974669892,-870.7589478231092
8.424242424242424,-0.004223257517764978,104.0,-869.3112551676716,-869.2017966348724,-869.2249193957335
8.40909090909091,0.01326388387752786,104.0,-867.7423343976411,-867.6656491529702,-867.6449418323658
8.393939393939394,-0.008877482381819846,103.0,-866.1748920301103,-866.038305148525,-866.1318910707652
8.378787878787879,0.00668803109209648,103.0,-864.6003417122206,-864.5058806429874,-864.4992877835699
8.363636363636363,0.024196910421551365,103.0,-863.0441020282209,-862.9723667189152,-862.9358971718173
8.348484848484848,0.02219145999202965,103.0,-861.4800100952242,-861.4489660359333,-861.3457891191402
8.333333333333332,0.002507182350882431,102.0,-859.9148979033431,-859.8773196547306,-859.8596175105223
8.318181818181817,-0.01561709709784509,101.0,-858.3843526320084,-851.7593013358944,-858.3505602335194
8.303030303030303,0.00472171732269544,101.0,-856.855843522171,-850.2541767782392,-856.7799857471439
8.287878787878789,-3.291122291439251,100.0,-855.3276474542859,-842.1584482147017,-855.3025097796278
8.272727272727273,-3.2695861275374227,100.0,-853.8119908528013,-840.7015426670996,-853.759687129286
8.257575757575758,-3.2524072143258422,100.0,-852.2998825102845,-839.214043075471,-852.1995862045231
8.242424242424242,-3.236126443820865,100.0,-850.7839176586759,-837.7132423746302,-850.662086532557
8.227272727272727,-3.229993453424015,100.0,-849.2712056028433,-836.2300824932707,-849.1152198059489
