Onsite_Energy,Chemical_Potential
-9.0,0.013290882503799395
-8.979797979797981,0.033619256248655915
-8.95959595959596,0.05390650246222961
-8.93939393939394,0.07412703765443496
-8.91919191919192,0.0942917192869821
-8.898989898989898,0.1147306539157249
-8.878787878787879,0.13474846045464872
-8.858585858585858,0.2250001011552918
-8.83838383838384,0.17526831613943017
-8.818181818181818,0.19477233057918042
-8.7979797979798,0.21555369246544842
-8.777777777777779,0.23555623581239615
-8.757575757575758,0.2559752646349658
-8.737373737373737,-3.8388403451263677
-8.717171717171716,0.296287120368838
-8.696969696969697,0.317677231223108
-8.676767676767676,-3.676442539705505
-8.656565656565657,0.3564989008338877
-8.636363636363637,-3.6296880803928175
-8.616161616161616,0.39722710191501065
-8.595959595959595,-3.5961934959735657
-8.575757575757576,0.4377752794103209
-8.555555555555555,-3.555571524643156
-8.535353535353536,-3.535370234193927
-8.515151515151516,-3.515237603921644
-8.494949494949495,-3.4959310043688276
-8.474747474747474,-3.4745178700064656
-8.454545454545455,-3.4548571320648946
-8.434343434343434,-3.427673291954406
-8.414141414141413,-3.414643239564221
-8.393939393939394,-3.3939745704051454
-8.373737373737374,-3.3724922204579713
-8.353535353535353,-3.3535481457764114
-8.333333333333334,-3.3259364454599236
-8.313131313131313,-3.313168633352099
-8.292929292929292,-3.2927253926412305
-8.272727272727273,-3.313063867533298
-8.252525252525253,-3.257398729425031
-8.232323232323232,-3.233759182513243
-8.212121212121213,-3.211122376882546
-8.191919191919192,-3.1914946263473887
-8.171717171717171,-3.1716706838625726
-8.151515151515152,-3.2079351204800908
-8.131313131313131,-3.113030379203604
-8.11111111111111,-3.1111321102118232
-8.09090909090909,-3.0907919469970153
-8.070707070707071,-3.072532388118873
-8.05050505050505,-3.053007237255777
-8.030303030303031,-3.0302898001086724
-8.01010101010101,-3.0102645626615647
-7.98989898989899,-2.986648002564703
-7.969696969696969,-2.9696494650239487
-7.94949494949495,-2.9481600807679733
-7.929292929292929,-2.926944967422422
-7.90909090909091,-2.909050267969633
-7.888888888888889,-2.894810516251056
-7.8686868686868685,-2.876337902027629
-7.848484848484848,-2.847982722343115
-7.828282828282829,-2.8290570475403065
-7.808080808080808,-2.8078539560000877
-7.787878787878787,-2.788146099916748
-7.767676767676768,-2.7668983853682825
-7.747474747474747,-2.7471436551568473
-7.727272727272727,-2.723508660472728
-7.707070707070708,-2.7072909535442804
-7.686868686868687,-2.6885143407391006
-7.666666666666666,-2.6725547450839215
-7.646464646464647,-2.636011740797205
-7.626262626262626,-2.626262339807969
-7.6060606060606055,-2.6065005248293893
-7.5858585858585865,-2.5866383927582888
-7.565656565656566,-2.5655485065567447
-7.545454545454545,-2.5454651422403067
-7.525252525252526,-2.525315042051247
-7.505050505050505,-2.3943562291041403
-7.484848484848484,-2.4840837900868564
-7.464646464646465,-2.464452397097954
-7.444444444444445,-2.4445613866713707
-7.424242424242424,-2.4221608905225303
-7.404040404040405,-2.4126203034044664
-7.383838383838384,-2.3813343440332524
-7.363636363636363,-2.3656599208842444
-7.3434343434343425,-2.345746733989822
-7.3232323232323235,-2.3220461885030215
-7.303030303030303,-2.302917053611351
-7.282828282828284,-2.282646770273475
-7.262626262626263,-2.332115100755326
-7.242424242424242,-2.241884249454449
-7.222222222222221,-2.221372624944996
-7.202020202020202,-2.2017653942222104
-7.181818181818182,-2.182268717997287
-7.161616161616161,-2.1616480261181525
-7.141414141414142,-2.130751583339796
-7.121212121212121,-2.1213884126826965
-7.1010101010101,-2.1008851870823957
-7.080808080808081,-2.0805929038881867
-7.0606060606060606,-2.060586633177028
-7.04040404040404,-2.037182558358822
-7.020202020202021,-2.015958183720194
-7.0,-1.9990296742075593
