Onsite_Energy,Chemical_Potential,N_particles,E1,E1m2,E1p2
4.5,0.3138936887351065,126.0,-507.468239520189,-508.61313243855426,-506.9378825679596
4.487373737373738,0.22409362512291864,125.0,-506.44139990399856,-507.1579923121569,-505.6643446963583
4.474747474747475,0.32566764677832793,124.0,-505.3889200847019,-505.94052321098474,-504.5282971151588
4.462121212121212,0.36587289882965024,123.0,-504.1751147608393,-504.6526111733588,-503.62471965715963
4.44949494949495,0.18439477941666382,122.0,-502.86753347191717,-503.3541818451564,-502.1544579781984
4.436868686868687,0.3361184226704381,121.0,-501.5228010546343,-501.888836291378,-500.95422357352965
4.424242424242425,0.1672934276546414,120.0,-500.3063480015145,-500.48747429387373,-499.5980500390561
4.411616161616162,0.19276652951214146,119.0,-498.92276024712385,-498.9394576740551,-498.29551092290933
4.3989898989899,0.06295839472895182,118.0,-497.4774128193663,-497.36716015438253,-497.21009660548674
4.386363636363637,0.07148718362287809,118.0,-496.10117681873777,-496.0469045182482,-495.6447825525441
4.373737373737374,0.010789600191742466,117.0,-494.6120704721734,-494.4130866072625,-494.3831523789434
4.361111111111111,0.015701871729191907,116.0,-492.97249649785084,-492.72183714887785,-492.97682861793436
4.348484848484849,-0.010947529098302766,116.0,-491.5620054875242,-491.266902319741,-491.5884084675309
4.335858585858586,-0.09761121235266046,116.0,-490.2543230029442,-489.84570108721886,-490.1174793983923
4.323232323232323,0.008815470797799208,116.0,-488.7011875566731,-488.41854572205847,-488.46386646261715
4.3106060606060606,-0.01742241036410519,115.0,-487.1814330573989,-486.8179663005755,-487.2696953367323
4.297979797979798,-0.07631871756947817,114.0,-485.5927276989429,-485.08654612625594,-485.724078566946
4.2853535353535355,-0.03613596015853204,115.0,-484.1197479500324,-484.02613234097277,-484.20919107535826
4.2727272727272725,-0.007967479584891635,116.0,-482.88447631683533,-482.6276190748438,-482.6365187875873
4.26010101010101,0.07870287715394397,116.0,-481.41643497334127,-481.1595970400212,-481.10776490865203
4.247474747474747,-0.014094710168706115,116.0,-479.9010212931455,-479.86990261856397,-479.6593979848058
4.234848484848484,0.0745889082973008,116.0,-478.44649617688776,-478.43552097483706,-478.14088590048976
4.222222222222222,0.03859456467418454,116.0,-476.92238440450825,-476.8610348129083,-476.5900032572505
4.20959595959596,-0.03126907130797463,115.0,-475.47869438016465,-475.47305945435727,-475.3193938593787
4.196969696969697,-0.007038280638994365,115.0,-474.0402293954691,-473.93548128465926,-473.9232961835335
4.184343434343434,0.03476946617388421,115.0,-472.56695884945026,-472.5482690665993,-472.27833552069336
4.171717171717171,0.08054179157718977,115.0,-471.2796115329139,-471.0928657656181,-470.8472836708629
4.159090909090909,-0.006488741723899238,114.0,-469.7049015393761,-469.5765030891998,-469.55852679861044
4.146464646464646,0.05143043994399932,114.0,-468.31648923133025,-468.1847027960317,-468.1308460095526
4.133838383838384,-0.03914389053639411,113.0,-466.8269312632874,-466.61741737123316,-466.7491312038741
4.121212121212121,0.028769113971435445,114.0,-465.4410482423265,-465.31281323193474,-465.25318597161805
4.108585858585858,-0.0012097483447348623,113.0,-463.9459759825432,-463.7410919797718,-463.82968741488554
4.095959595959595,-0.01164482789295107,113.0,-462.5443289078003,-462.39217879261986,-462.3950835767385
4.083333333333334,-0.030666235411388243,112.0,-461.1024605987763,-460.82037009699474,-461.14781068008153
4.070707070707071,-0.02229692493480684,113.0,-459.6764327025968,-459.63135931010214,-459.5073108358425
4.058080808080808,0.020264677833864653,113.0,-458.2851058018279,-458.21238553464775,-458.1427934744689
4.045454545454546,0.02040876969766714,112.0,-456.8944494793118,-456.64622395284005,-456.7769920926753
4.032828282828283,0.001636894336485284,113.0,-455.39101050482526,-455.3596936599185,-455.24805681752395
4.02020202020202,0.010053703162896,112.0,-453.9833583743436,-453.88474530774397,-453.92825878702513
4.007575757575758,0.009870790743121916,112.0,-452.6427085504481,-452.5246058188431,-452.4956625117107
3.9949494949494953,0.025314370232592864,112.0,-451.22089909115743,-451.12649655566963,-451.03854353450214
3.9823232323232323,0.005437775579423487,111.0,-449.7604430149303,-449.6198683359374,-449.70586619632303
3.9696969696969697,-0.027879810960342866,111.0,-448.3858582087338,-448.2535416692428,-448.28729362802824
3.957070707070707,-0.033304031448125215,110.0,-446.95760741237456,-446.71399620317425,-446.9555614289174
3.9444444444444446,0.007470585326501578,111.0,-445.5769893018662,-445.4720613917646,-445.48051154293586
3.9318181818181817,0.002590832636116147,110.0,-444.1551559311867,-443.99230927485763,-444.02830129019213
3.9191919191919196,0.009231130898882611,110.0,-442.75123240805476,-442.6250708656527,-442.7320346106323
3.9065656565656566,-0.003282819015197447,110.0,-441.38707152303834,-441.2894201561467,-441.2730583141939
3.893939393939394,0.006729419470872244,110.0,-439.9892972623138,-439.9012649933876,-439.8964607720628
3.881313131313131,-0.03684052369780488,109.0,-438.6268625751012,-438.41991650380794,-438.549770724738
3.8686868686868685,-0.01481872362279546,109.0,-437.22335276183924,-437.06832621380715,-437.15358048595135
3.856060606060606,-0.04988854767043449,108.0,-435.82108350607257,-435.57431530132436,-435.85493997448816
3.8434343434343434,0.0012180763111473425,109.0,-434.4624859946922,-434.37994167236815,-434.35036866732025
3.8308080808080804,0.0036111869419528375,109.0,-433.1342565774727,-433.01207368862106,-432.99968674624404
3.8181818181818183,0.05755777306183063,109.0,-431.7366516978425,-431.65787760719763,-431.5470037257254
3.8055555555555554,0.03558402398513749,109.0,-430.37445422787727,-430.3306104793482,-430.18219254648125
3.792929292929293,-0.008074341248004657,108.0,-429.0303162633064,-428.87750375168906,-428.90511663251453
3.7803030303030303,0.01158602041721224,108.0,-427.6356043223782,-427.5395137231375,-427.51723017544185
3.7676767676767677,0.009652759985016246,108.0,-426.2923579356237,-426.20495050340236,-426.0901247549379
3.755050505050505,-0.011015861530836446,107.0,-424.9151852492845,-424.7682143957514,-424.8706183140143
3.742424242424242,-0.006416349849985181,107.0,-423.5505203918296,-423.4419556455679,-423.49701942851704
3.72979797979798,-0.005840283768520749,107.0,-422.2093026158992,-422.1134455653889,-422.1033859359665
3.717171717171717,0.009367622877789472,107.0,-420.8751613750186,-420.78998420025437,-420.6812608950311
3.704545454545455,0.0237355578431675,107.0,-419.51017325801763,-419.4658486526179,-419.3749585957246
3.691919191919192,-0.004789337355390444,106.0,-418.1791262028461,-418.07259920743854,-418.0903197356828
3.6792929292929295,-0.001281917183717951,106.0,-416.8363173211941,-416.7623509396938,-416.73989152814215
3.666666666666667,0.014040060658203402,106.0,-415.49644132035814,-415.44923899837755,-415.35647920482046
3.654040404040404,-0.011004271950952216,105.0,-414.1640571284613,-414.06051047430907,-414.10439661108126
3.6414141414141414,0.0012556356728339324,105.0,-412.8339301897979,-412.76246849613284,-412.7507062571718
3.6287878787878785,0.013711751769108105,105.0,-411.50943227492405,-411.4590732138483,-411.3842698907256
3.616161616161616,-0.01175429777191539,104.0,-410.19229143365067,-410.10764496719474,-410.1519928350235
3.6035353535353534,-0.004289618166239961,104.0,-408.8824804275437,-408.8201964940278,-408.8122968061559
3.590909090909091,0.015899149241079158,104.0,-407.56852834998085,-407.53356929020305,-407.47271778117823
3.578282828282828,-0.007079221165071203,103.0,-406.2594644102901,-406.2043761874086,-406.20663471963644
3.5656565656565657,-0.012572729593756549,102.0,-404.95660042548394,-404.9037287158054,-404.94093076709146
3.5530303030303028,-0.0020777947113970185,102.0,-403.66834238246486,-403.64110247520324,-403.6327300116206
3.5404040404040407,0.011374723424296462,102.0,-402.38191323365027,-402.3784762124883,-402.31710177593476
3.5277777777777777,0.010032955325840476,101.0,-401.10347594251937,-399.04957219150236,-401.0561016591029
3.515151515151515,-1.0147425202377747,100.0,-399.85322368736854,-395.7443906824277,-399.80556950082314
3.5025252525252526,-1.0023134893061183,100.0,-398.5905974242484,-394.50837294379164,-398.5185787938015
3.48989898989899,-0.9900809200847505,100.0,-397.32797116204904,-393.2752769589842,-397.23032133353655
3.477272727272727,-0.9763921842353511,100.0,-396.06534489938645,-392.0296734329232,-395.94259352548744
3.4646464646464645,-0.9647457191570368,100.0,-394.802718634243,-390.7986444103572,-394.65280068063333
3.452020202020202,-0.9512165144069513,100.0,-393.54009237421013,-389.55718566759174,-393.36606899193333
3.4393939393939394,-0.9394384865890402,100.0,-392.27746611148376,-388.32106408433356,-392.0784878825175
3.4267676767676765,-0.9272452157815962,100.0,-391.0148398487262,-387.0833196365921,-390.7906996145679
3.4141414141414144,-0.9141168947450353,100.0,-389.752213586253,-385.8468807592437,-389.5027352941046
3.4015151515151514,-0.9013030774289064,100.0,-388.48958731939916,-384.6084561057518,-388.21519020730125
3.3888888888888893,-0.8882511010704377,100.0,-387.22696106066405,-383.37183498046903,-386.9272100036537
3.3762626262626263,-0.8758539925583477,100.0,-385.96433479845854,-382.13600386492476,-385.6384560815288
3.3636363636363638,-0.8628370112565165,100.0,-384.7017085358423,-380.89395468051947,-384.3496764510839
3.3510101010101008,-0.8511959918415073,100.0,-383.43908227322135,-379.660698916607,-383.0632534210216
3.3383838383838387,-0.8386990506866425,100.0,-382.1764560105871,-378.42529833952125,-381.77648182570994
3.3257575757575757,-0.8258754500174064,100.0,-380.9138297467658,-377.1870464491123,-380.48655205934597
3.313131313131313,-0.8133036711426769,100.0,-379.6512034850891,-375.95114452357217,-379.1990441905125
3.3005050505050506,-0.7999137394373861,100.0,-378.3885772221867,-374.71097987040827,-377.91152754584215
3.2878787878787876,-0.7881947998783971,100.0,-377.12595096008505,-373.4727273169832,-376.62447857597675
3.275252525252525,-0.7752201286250795,100.0,-375.8633246834414,-372.236900520072,-375.3356959887545
3.2626262626262625,-0.7625452804275312,100.0,-374.6006984348314,-371.00185168605657,-374.0479240003954
3.25,-0.7492879310362355,100.0,-373.33807217206515,-369.7603797378941,-372.7607441800448
