Onsite_Energy,Chemical_Potential
-9.0,0.6238091368525147
-8.984848484848486,0.8850711726834959
-8.96969696969697,0.041341880885710225
-8.954545454545453,0.6008145924250812
-8.93939393939394,0.46811247037862813
-8.924242424242424,0.32421484253578114
-8.90909090909091,0.32069968796403714
-8.893939393939394,0.36074253103546994
-8.878787878787879,0.3173625933669655
-8.863636363636363,0.4816640350573209
-8.84848484848485,0.6977134987155296
-8.833333333333334,0.37694503576258853
-8.818181818181818,0.5278594050747074
-8.803030303030303,0.40082677815320267
-8.787878787878787,0.553903853852205
-8.772727272727273,0.5384783172623315
-8.757575757575758,0.3808265315139181
-8.742424242424242,0.554641127741462
-8.727272727272727,0.44755752202627264
-8.712121212121211,0.7162718869856519
-8.696969696969697,0.22658237963673855
-8.681818181818182,0.0893505114209745
-8.666666666666666,0.4811955822800371
-8.651515151515152,0.43892360157025223
-8.636363636363637,0.28711801656203306
-8.621212121212121,0.2852697901047634
-8.606060606060606,0.46212193596952034
-8.590909090909092,0.05705791703098839
-8.575757575757574,0.3598161164173348
-8.56060606060606,0.32214945066053247
-8.545454545454547,0.3254865304134853
-8.530303030303031,0.37557706172927396
-8.515151515151514,0.1338321058191525
-8.5,0.19469342604838857
-8.484848484848484,0.1736734124368411
-8.469696969696969,0.11720316628921523
-8.454545454545455,0.16880345970815824
-8.43939393939394,-0.0910094368827572
-8.424242424242424,0.06391066502152398
-8.40909090909091,-0.010396075339741628
-8.393939393939394,0.09951889558729476
-8.378787878787879,0.09897708909548442
-8.363636363636363,-0.10036789335191543
-8.348484848484848,0.015671263359479326
-8.333333333333332,0.16910540707743849
-8.318181818181817,0.20088457870485854
-8.303030303030303,0.11545665915767245
-8.287878787878789,0.15454309925991083
-8.272727272727273,0.12952308555708214
-8.257575757575758,-3.2747200800312157
-8.242424242424242,0.16194363155008773
-8.227272727272727,-3.318126610134101
-8.212121212121213,-3.27738490263215
-8.196969696969697,-3.196676669402791
-8.181818181818183,-3.233442318451779
-8.166666666666668,-3.1963010985184326
-8.151515151515152,-3.2261641494196454
-8.136363636363637,-3.0955808628389434
-8.121212121212121,-3.0649116814610693
-8.106060606060606,-3.094345742290244
-8.090909090909092,-3.054755040838586
-8.075757575757576,-3.094148655886414
-8.06060606060606,-3.0539860745489023
-8.045454545454545,-3.0344160658286796
-8.03030303030303,-3.0267334430345727
-8.015151515151516,-2.9707695442301656
-8.0,-2.9918668199986485
-7.984848484848484,-3.0444744699140927
-7.96969696969697,-2.9179263593690905
-7.954545454545454,-2.976387673251878
-7.9393939393939394,-3.0503667034732302
-7.924242424242425,-2.890286211822314
-7.909090909090909,-2.888395206263482
-7.8939393939393945,-2.8988321156362815
-7.878787878787879,-2.905967784853118
-7.863636363636363,-2.797637637409508
-7.848484848484848,-2.80538750373276
-7.833333333333333,-2.832534649827039
-7.818181818181818,-2.8887866935759803
-7.803030303030303,-2.828654128842942
-7.787878787878788,-2.7418631292340194
-7.7727272727272725,-2.757982577511086
-7.757575757575758,-2.770727189975645
-7.742424242424242,-2.5964453541189414
-7.7272727272727275,-2.7151023371364147
-7.712121212121213,-2.6968894924287667
-7.696969696969697,-2.8113019672474593
-7.681818181818182,-2.697689006604179
-7.666666666666666,-2.7372481326362106
-7.651515151515151,-2.6810424000730393
-7.636363636363637,-2.5862588741103707
-7.621212121212121,-2.6136787258830054
-7.606060606060606,-2.5670976745281564
-7.590909090909091,-2.5766957903768457
-7.575757575757575,-2.556252753674471
-7.5606060606060606,-2.4681167449496115
-7.545454545454546,-2.5722052508448314
-7.53030303030303,-2.4372481649006374
-7.515151515151516,-2.54613718854489
-7.5,-2.468114005230376
