Onsite_Energy,Chemical_Potential,N_particles,E1,E1m2,E1p2
9.0,0.04921590071961646,74.0,-561.9312578695985,-561.8400257084373,-561.6156591391549
8.984848484848486,-0.10338670156812668,73.0,-560.7668191303031,-560.5035296172626,-560.718674072794
8.96969696969697,0.09103501734244901,74.0,-559.6678604313447,-559.6523991949656,-559.3857590078369
8.954545454545453,-0.02371067294382101,73.0,-558.5676555513747,-558.4081063694887,-558.3509897592868
8.93939393939394,0.0920601843258737,74.0,-557.4749105775837,-557.3651292771852,-556.9457215525698
8.924242424242424,0.12490851803096348,74.0,-556.3862529950934,-556.3467464303865,-555.7295301839855
8.90909090909091,0.09530984310993063,73.0,-555.2339205632079,-555.1694944028923,-554.9813766077904
8.893939393939394,-0.03512090942967916,72.0,-554.1175447052925,-553.9232278652528,-554.1310687157765
8.878787878787879,-0.023397225649887332,72.0,-553.0725421572581,-552.868466275997,-552.8262730895145
8.863636363636363,-0.027539741953887642,72.0,-551.9767805985458,-551.8188517377054,-551.8411721573382
8.84848484848485,-0.043299094162193796,71.0,-550.9101551684471,-550.5371020997338,-550.8066713468754
8.833333333333334,0.08414363345639231,72.0,-549.8076462587651,-549.6630627296986,-549.4291281119147
8.818181818181818,-0.017671956946230694,71.0,-548.7304419590916,-548.4623858839955,-548.5940702775705
8.803030303030303,0.029124038524287243,71.0,-547.6190306397017,-547.417833076155,-547.4733813089316
8.787878787878787,-0.002864354859411833,71.0,-546.5542241030687,-546.4309080861199,-546.4227348330608
8.772727272727273,-0.042652182395954696,70.0,-545.4883074567688,-545.2062680662359,-545.3734513300586
8.757575757575758,-0.04410537538620929,70.0,-544.405707402337,-544.1751444556702,-544.3504980161719
8.742424242424242,0.03062589093741508,71.0,-543.3175106591779,-543.277332216618,-543.002196815081
8.727272727272727,0.0973957765059481,71.0,-542.2957319132561,-542.1882510926782,-541.9925294474727
8.712121212121211,0.024654832438443464,71.0,-541.1905466012445,-541.1750081433466,-540.8976392522607
8.696969696969697,-0.015146311342050467,70.0,-540.1716889286853,-540.0567650475466,-540.0386810311938
8.681818181818182,0.08406049970409413,71.0,-539.0550049546159,-539.0888135072371,-538.6253504538113
8.666666666666666,0.0747853672819474,70.0,-538.0697683959246,-537.9851822794151,-537.7762562359991
8.651515151515152,0.01150330373172892,69.0,-537.0027532223577,-536.9015237370141,-536.8869049005078
8.636363636363637,-0.0031603652701051033,68.0,-535.9060358596871,-535.7113044262209,-535.9503514832305
8.621212121212121,0.003845710916664302,69.0,-534.9087503570172,-534.8125398913029,-534.6662160930231
8.606060606060606,-0.03956918694751721,68.0,-533.8777679339903,-533.7348699136458,-533.7267348345448
8.590909090909092,0.058474801569275314,69.0,-532.8572643074441,-532.8112726326613,-532.5755857003193
8.575757575757574,0.02952084648569553,68.0,-531.8247423905713,-531.7139246193428,-531.6588481773103
8.56060606060606,0.040076929581061904,68.0,-530.8097960812431,-530.7235196408088,-530.6262619733385
8.545454545454547,-0.022860787419404005,67.0,-529.768737540949,-529.6192478323794,-529.6618991713282
8.530303030303031,-0.03132892768263673,66.0,-528.7248498888218,-528.502867999619,-528.7206476856336
8.515151515151514,-0.04056427154512221,66.0,-527.7498434559424,-527.5334628128774,-527.6759652873893
8.5,-0.01269524007614109,66.0,-526.7244375220854,-526.5727345185694,-526.6677422840455
8.484848484848484,-0.0051588773367825524,66.0,-525.7373192904834,-525.6157350615903,-525.6132613788103
8.469696969696969,-0.030971096104906337,65.0,-524.7030893921188,-524.5279176834413,-524.6794890200093
8.454545454545455,0.030196737967173704,66.0,-523.7340703177997,-523.6531355493748,-523.5720112788821
8.43939393939394,0.036981616204059264,66.0,-522.741311570895,-522.7043745038637,-522.5563298551044
8.424242424242424,0.0002679356700241442,65.0,-521.7376637121914,-521.6572749727757,-521.6514990385467
8.40909090909091,0.010256455936996645,65.0,-520.7721097798417,-520.6990730631118,-520.6052230922721
8.393939393939394,-0.0136807933330374,64.0,-519.8010055594251,-519.6897507572014,-519.706912731699
8.378787878787879,0.005357770478383372,64.0,-518.8250353121101,-518.7543766415054,-518.6910159428983
8.363636363636363,0.012613363063849192,64.0,-517.8459451513287,-517.8142831312094,-517.7264727980877
8.348484848484848,-0.006851310762272078,63.0,-516.8899499473179,-516.8246181896053,-516.8123719759054
8.333333333333332,-0.014811910149092,62.0,-515.9331291464113,-515.860714470698,-515.9233371531293
8.318181818181817,0.001436773470118169,62.0,-514.9902016182645,-514.9502688651568,-514.9429049239238
8.303030303030303,0.00976731342717585,62.0,-514.0558209821621,-514.0423565014082,-513.9769940145216
8.287878787878789,0.01108815887067749,61.0,-513.1281729635839,-506.5551139309112,-513.0731844532463
8.272727272727273,-3.2741213173163715,60.0,-512.2225830148118,-499.1022866011163,-512.1748271830205
8.257575757575758,-3.2561938192591526,60.0,-511.31062665340323,-498.220894900086,-511.23710592146233
8.242424242424242,-3.2428657312225937,60.0,-510.4040930323368,-497.34505645724596,-510.2982417010036
8.227272727272727,-3.2273785763659077,60.0,-509.49534954429396,-496.44212770340255,-509.34760971421935
8.212121212121213,-3.2114895586625494,60.0,-508.58677129461023,-495.58528327673577,-508.4116716400891
8.196969696969697,-3.19286695112433,60.0,-507.67847561853836,-494.70257597763725,-507.48266583885373
8.181818181818183,-3.183294003038611,60.0,-506.7673674036847,-493.83146541731463,-506.54370921753656
8.166666666666668,-3.167936333651909,60.0,-505.85970371384946,-492.9517014644902,-505.60226933411985
8.151515151515152,-3.1506967883875916,60.0,-504.9515662307832,-492.0679919999047,-504.6598106161656
