EGS_without_QN,EGS_with_QN,EGS_minus_1,EGS_plus_1
-329.61411300464124,-330.40602914639214,-323.9667233647832,-330.0507819162589
-330.00955777207935,-330.4478377900026,-324.0508779119673,-330.1030752692211
-329.800873946248,-330.45985999597355,-324.08545539553023,-330.1234806082809
-330.1403050683298,-330.46908980549216,-324.1121247619071,-330.1388762586412
-330.23574275572076,-330.47629157549966,-324.1330669396147,-330.1515644669057
