Onsite_Energy,Chemical_Potential
-10.0,-0.4183254518927928
-9.795918367346939,-0.21424381923973002
-9.591836734693878,-0.010162186586672561
-9.387755102040817,0.19391944606639022
-9.183673469387756,-4.183677041538676
-8.979591836734693,0.602082711372514
-8.775510204081632,0.8061643440255732
-8.571428571428573,-3.5714321435794893
-8.36734693877551,-3.36735051092643
-8.16326530612245,-3.1632688782733673
-7.959183673469388,-2.9591872456203046
-7.755102040816326,-2.7551056129672435
-7.551020408163264,-2.5510239803141808
-7.346938775510203,-2.3469423476611215
-7.142857142857143,-2.142860715008058
-6.938775510204081,-1.9387790823549977
-6.734693877551021,-1.7346974497019358
-6.530612244897959,-1.5306158170488757
-6.326530612244898,-1.3265341843958147
-6.122448979591837,-1.1224525517427537
-5.918367346938775,-0.9183709190896918
-5.7142857142857135,-0.7142892864366281
-5.5102040816326525,-0.510207653783568
-5.3061224489795915,-0.306126021130507
-5.1020408163265305,-0.1020443884774469
-4.8979591836734695,0.1020372441756141
-4.693877551020408,0.306118876828676
-4.4897959183673475,0.5102005094817361
-4.2857142857142865,0.7142821421347971
-4.081632653061225,0.918363774787859
-3.877551020408163,1.1224454074409205
-3.6734693877551017,1.326527040093982
-3.4693877551020416,1.5306086727470425
-3.2653061224489797,1.7346903054001044
-3.0612244897959187,1.9387719380531654
-2.8571428571428568,2.1428535707062273
-2.6530612244897958,2.3469352033592887
-2.448979591836735,2.5510168360123484
-2.2448979591836737,2.7550984686654103
-2.0408163265306123,2.959180101318472
-1.8367346938775508,3.1632617339715328
-1.6326530612244894,3.367343366624594
-1.428571428571429,3.5714249992776548
-1.2244897959183676,3.7755066319307167
-1.0204081632653061,-0.6020827113725111
-0.8163265306122447,-0.39800107871945056
-0.6122448979591832,-0.19391944606638867
-0.4081632653061229,0.010162186586672672
-0.20408163265306145,0.21424381923973435
0.0,-0.8469163474523441
