,Onsite_Energy,Chemical_Potential,Nparticles,E1,E1m2,E1p2
0,4.5,-0.0135621848289773,25.0,-102.1142676281586,-101.63298740013012,-101.68746188022948
1,4.492424242424243,-0.0059864272526581,25.0,-101.92487368876476,-101.45874497588773,-101.482916425684
2,4.484848484848485,0.0015893303225738,25.0,-101.73547974937068,-101.28450255164536,-101.27837097113864
3,4.477272727272727,0.0091650878983458,25.0,-101.54608580997667,-101.110260127403,-101.07382551659316
4,4.46969696969697,0.0167408454748709,25.0,-101.3566918705828,-100.93601770316036,-100.86928006204752
5,4.462121212121212,0.0243166030503729,25.0,-101.16729793118895,-100.76177527891792,-100.66473460750215
6,4.454545454545455,0.0318923606254912,25.0,-100.97790399179492,-100.58753285467566,-100.4601891529569
7,4.446969696969697,0.0394681182013698,25.0,-100.78851005240108,-100.4132904304332,-100.25564369841138
8,4.4393939393939394,0.0470438757771702,25.0,-100.5991161130069,-100.2390480061908,-100.05109824386584
9,4.431818181818182,0.0546196333529849,25.0,-100.40972217361316,-100.06480558194838,-99.84655278932044
10,4.424242424242425,0.0621953909293893,25.0,-100.2203282342191,-99.89056315770598,-99.64200733477502
11,4.416666666666667,0.069771148503932,25.0,-100.03093429482526,-99.71632073346346,-99.43746188022963
12,4.409090909090909,0.0773469060802227,25.0,-99.84154035543128,-99.542078309221,-99.23291642568404
13,4.401515151515151,0.0849226636561581,25.0,-99.65214641603728,-99.36783588497872,-99.0283709711386
14,4.393939393939394,-0.1345795079536031,24.0,-99.46920183313432,-98.76169832942988,-99.28420499067111
15,4.386363636363637,-0.1270037503778809,24.0,-99.28738365131592,-98.59503166276264,-99.08723529370177
16,4.378787878787879,-0.1194279928020165,24.0,-99.10556546949772,-98.42836499609652,-98.89026559673134
17,4.371212121212121,-0.11185223522628,24.0,-98.92374728767976,-98.26169832943148,-98.69329589976172
18,4.363636363636363,-0.104276477650643,24.0,-98.7419291058624,-98.09503166276323,-98.49632620279192
19,4.3560606060606055,-0.0967007200748142,24.0,-98.5601109240436,-97.9283649960967,-98.2993565058231
20,4.348484848484849,-0.0891249624990848,24.0,-98.37829274222578,-97.76169832943152,-98.10238680885148
21,4.340909090909091,-0.0815492049232347,24.0,-98.19647456040684,-97.59503166276248,-97.90541711188234
22,4.333333333333333,-0.07397344734742,24.0,-98.01465637858855,-97.42836499609744,-97.70844741491324
23,4.325757575757576,-0.0663976897717688,24.0,-97.83283819677048,-97.26169832942924,-97.51147771794344
