Onsite_Energy,Chemical_Potential,N_particles
9.0,-0.04012404414763182,49.0
8.984848484848486,-0.02509668280450228,49.0
8.96969696969697,-0.010418612868136279,49.0
8.954545454545453,0.004817465630424067,49.0
8.93939393939394,0.02028430951273208,49.0
8.924242424242424,0.03530626640150558,49.0
8.90909090909091,-0.06374437393216681,48.0
8.893939393939394,-0.048706095874564426,48.0
8.878787878787879,-0.033430997887961666,48.0
8.863636363636363,-0.018235622541652674,48.0
8.84848484848485,-0.00313052056500851,48.0
8.833333333333334,0.012017577414468406,48.0
8.818181818181818,0.027167096579290728,48.0
8.803030303030303,0.04233927486018274,48.0
8.787878787878787,0.057481620157005864,48.0
8.772727272727273,-0.03550842095486928,47.0
8.757575757575758,-0.02107838773432036,47.0
8.742424242424242,-0.005213207018016419,47.0
8.727272727272727,0.009898990835068844,47.0
8.712121212121211,0.024915945966370145,47.0
8.696969696969697,0.040512154318321336,47.0
8.681818181818182,-0.04564859266488952,46.0
8.666666666666666,-0.030502611243747424,46.0
8.651515151515152,-0.01521896247251675,46.0
8.636363636363637,-0.0002053545176465832,46.0
8.621212121212121,0.014931653116320831,46.0
8.606060606060606,0.02998366096085192,46.0
8.590909090909092,0.045244407745087756,46.0
8.575757575757574,-0.03178755607899575,45.0
8.56060606060606,-0.016674052598659728,45.0
8.545454545454547,-0.0015338682652270563,45.0
8.530303030303031,0.013711943666606885,45.0
8.515151515151514,0.02937143658746777,45.0
8.5,-0.03781803407835582,44.0
8.484848484848484,-0.022653656391867116,44.0
8.469696969696969,-0.007447380080236599,44.0
8.454545454545455,0.007656185440083618,44.0
8.43939393939394,0.022783929090593347,44.0
8.424242424242424,0.03793500831079655,44.0
8.40909090909091,-0.016613171888309353,43.0
8.393939393939394,-0.0013537059722921185,43.0
8.378787878787879,0.013918136804534242,43.0
8.363636363636363,-0.02649980440023114,42.0
8.348484848484848,-0.011703483737989018,42.0
8.333333333333332,0.0038764586484205665,42.0
8.318181818181817,0.019006504708585226,42.0
8.303030303030303,-0.0037626282303619973,41.0
8.287878787878789,-3.2878724675645685,40.0
8.272727272727273,-3.272715594848478,40.0
8.257575757575758,-3.257578312921737,40.0
8.242424242424242,-3.242638622544007,40.0
8.227272727272727,-3.2270920147698234,40.0
8.212121212121213,-3.2123633711777586,40.0
8.196969696969697,-3.196435931614502,40.0
8.181818181818183,-3.181610433848931,40.0
8.166666666666668,-3.1659308105808748,40.0
8.151515151515152,-3.1513899033490134,40.0
8.136363636363637,-3.1365456810748356,40.0
8.121212121212121,-3.1210445633061283,40.0
8.106060606060606,-3.106043667349013,40.0
8.090909090909092,-3.0906319919019722,40.0
8.075757575757576,-3.0763011949061934,40.0
8.06060606060606,-3.060699643626407,40.0
8.045454545454545,-3.045616788393687,40.0
8.03030303030303,-3.029840965743176,40.0
8.015151515151516,-3.0145497963595176,40.0
8.0,-2.9994446986618186,40.0
7.984848484848484,-2.9846528767623397,40.0
7.96969696969697,-2.969115988571332,40.0
7.954545454545454,-2.9548357863669423,40.0
7.9393939393939394,-2.938853063462801,40.0
7.924242424242425,-2.9231254478110316,40.0
7.909090909090909,-2.907548037600094,40.0
7.8939393939393945,-2.893417060177967,40.0
7.878787878787879,-2.8786598080720864,40.0
7.863636363636363,-2.8634015896186895,40.0
7.848484848484848,-2.847820631009,40.0
7.833333333333333,-2.8324778944740387,40.0
7.818181818181818,-2.818041865536884,40.0
7.803030303030303,-2.80283796139679,40.0
7.787878787878788,-2.7879439829897024,40.0
7.7727272727272725,-2.7718639344547285,40.0
7.757575757575758,-2.7578226496932245,40.0
7.742424242424242,-2.7425269037796056,40.0
7.7272727272727275,-2.726885884745826,40.0
7.712121212121213,-2.71215151770312,40.0
7.696969696969697,-2.696618147226417,40.0
7.681818181818182,-2.6818557350223955,40.0
7.666666666666666,-2.666601950782791,40.0
7.651515151515151,-2.651182148690282,40.0
7.636363636363637,-2.6365844044914297,40.0
7.621212121212121,-2.6213424816697284,40.0
7.606060606060606,-2.605934091829937,40.0
7.590909090909091,-2.5896512056811503,40.0
7.575757575757575,-2.5749981880710493,40.0
7.5606060606060606,-2.560775257277669,40.0
7.545454545454546,-2.544747010146466,40.0
7.53030303030303,-2.529938847408033,40.0
7.515151515151516,-2.5145059231489313,40.0
7.5,-2.499037054735169,40.0
